"Country","Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course","McMeal at McDonalds (or Equivalent Combo Meal)","Domestic Beer (0.5 liter draught)","Imported Beer (0.33 liter bottle Restaurant)","Coke/Pepsi (0.33 liter bottle)","Water (0.33 liter bottle) ","Milk (regular), (1 liter)","Loaf of Fresh White Bread (500g)","Eggs (regular) (12)","Local Cheese (1kg)","Water (1.5 liter bottle)","Bottle of Wine (Mid-Range)","Domestic Beer (0.5 liter bottle)","Imported Beer (0.33 liter bottle)","Cigarettes 20 Pack (Marlboro)","One-way Ticket (Local Transport)","Chicken Breasts (Boneless, Skinless), (1kg)","Monthly Pass (Regular Price)","Gasoline (1 liter)","Volkswagen Golf","Apartment (1 bedroom) in City Centre","Apartment (1 bedroom) Outside of Centre","Apartment (3 bedrooms) in City Centre","Apartment (3 bedrooms) Outside of Centre","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult","Tennis Court Rent (1 Hour on Weekend)","Cinema, International Release, 1 Seat","1 Pair of Jeans (Levis 501 Or Similar)","1 Summer Dress in a Chain Store (Zara, H&M, ...)","1 Pair of Nike Running Shoes (Mid-Range)","1 Pair of Men Leather Business Shoes","Price per Square Meter to Buy Apartment in City Centre","Price per Square Meter to Buy Apartment Outside of Centre","Average Monthly Net Salary (After Tax)","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Taxi Start (Normal Tariff)","Taxi 1km (Normal Tariff)","Taxi 1hour Waiting (Normal Tariff)","Apples (1kg)","Oranges (1kg)","Potato (1kg)","Lettuce (1 head)","Cappuccino (regular)","Rice (white), (1kg)","Tomato (1kg)","Banana (1kg)","Onion (1kg)","Beef Round (1kg) (or Equivalent Back Leg Red Meat)","Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
"Denmark",17.4,80.29,10.04,6.69,5.35,3.02,2.22,1.21,2.75,3.07,10.5,1.07,8.03,1.61,2.18,6.02,3.21,8.7,53.53,1.5,33453.16,1234.4,919.12,2210.96,1655.25,196.67,0.12,34.45,36.85,30.51,14.72,102.61,38.2,101.26,129.68,6157.07,4258.87,2803.98,1.62,6.69,2.01,53.55,2.44,2.61,1.63,1.45,5.21,1.98,3,2.25,1.33,11.38,32048.06,429.52
"Estonia",8,45,6,4,4,1.83,1.45,0.7,0.87,1.58,7.2,0.58,7,1.42,1.53,4.25,2,5.28,23,1.35,17600,533.33,364.36,869.29,611.46,175.25,0.04,22.88,45.44,23.03,8,71.23,30.54,67.16,88.33,2632.65,1810.14,1188.81,2.39,2.5,0.5,10.5,1.13,1.37,0.49,0.99,2.79,1.39,1.93,1.06,0.56,8.34,17310.65,250.94
"Finland",12,65,8,6.5,6.75,2.66,1.89,0.96,2.27,2.02,6.87,1.54,12,2.23,2.95,7.7,2.8,9.42,59.7,1.54,22000,986.93,758.13,1819.32,1271.16,82.66,0.07,22.31,34.54,24.72,14,83.41,31.41,82.49,120.97,7444.54,4099.36,2382.56,1.38,6,1,47.04,2.1,1.75,0.91,2.3,3.87,2.13,2.91,1.61,1.25,12.34,24402.77,351.6
"France",15,50,8.7,7,6,3.14,2.19,1.24,1.52,3.4,18.14,0.9,8,1.78,2.27,8.8,1.9,12.98,75,1.56,21500,1177.51,837.76,2597.17,1736.93,170.29,0.19,27.15,39.98,20.05,11,86.04,36,92.46,135,11203.03,8334.37,2215.02,1.63,5,1.35,39.02,3.04,2.64,1.98,1.3,3.4,1.79,2.82,2.11,2.28,18.89,24250,877.75
"Georgia",4.67,18.69,4.05,0.93,1.25,0.39,0.18,0.97,0.28,1.12,3.38,0.36,4.36,0.72,1.02,1.56,0.16,2.82,9.34,0.78,9343,306.63,184.31,625.77,348.41,52.69,0.08,14.09,30.29,8.55,4.49,52.06,29.84,73.33,82.53,950.35,506.92,248.07,12.37,0.93,0.23,1.56,0.74,0.98,0.38,0.42,1.4,0.91,0.86,1.13,0.37,5.23,11163.69,97.73
"Germany",10.375,50,7.75,3.825,3.5,2.435,2.09,0.8075,1.4375,2.035,8.6525,0.5275,5,0.8725,1.2125,6.425,2.9125,7.79,80.85,1.43,21755,988.6475,723.9125,1870.3075,1378.405,243.15,0.1,31.3,37.035,20.46,11.5,76.8775,33.09,86.0525,112.4475,7274.1575,4785.2425,2516.945,1.85,3.65,1.975,30.5,2.235,2.1225,1.3725,0.99,2.8425,1.9175,2.4075,1.6025,1.3475,11.1475,20009.3,349.8275
"Greece",10,37.5,6.25,3.75,4.25,1.5,0.5,1.17,0.85,2.975,7.95,0.805,7,1.27,1.965,4.5,1.2,6.87,30,1.575,18250,357.005,304.07,610.28,526.765,149.58,0.39,30.65,29.95,13.98,8,72.81,28.1,74.93,90.04,1816.055,1513.725,723.76,4.645,3.5,0.87,11.81,1.245,1.065,0.825,0.715,3.18,1.61,1.37,1.455,0.815,8.765,18516.91,333.935
"Hungary",5.99,29.96,4.79,1.5,1.8,1.01,0.82,0.7,0.69,1.49,5.67,0.34,4.04,0.78,1.08,4.04,1.05,4.37,28.46,1.19,17376.41,480.55,356.04,920.02,635.08,147.94,0.08,13.06,37.85,12.39,5.39,58.08,27.52,68.09,78.72,2913.16,1908.92,755.32,4.82,2.1,0.9,13.48,1.03,1.16,0.83,0.94,1.41,1.02,1.78,1.28,0.89,7.62,18153.92,273.3
"Iceland",17.96,109.16,11.64,8.73,7.28,2.61,1.92,1.2,2.91,4.8,12.29,1.57,18.19,2.46,2.4,10.18,3.42,14.72,93.15,1.63,26126.4,1458.29,1203.14,2332,1918.32,88.14,0.15,59.63,54.44,33,11.57,108.5,45.09,126.37,164.79,4384.32,3273.73,2908.86,6.3,5.02,2.28,57.64,2.09,1.96,1.86,2.2,4.11,2.37,3.37,1.66,1.42,20.84,30138.76,245.58
"Ireland",15,60,8,5.8,5.5,1.8,1.59,0.95,1.42,2.79,7.51,1.41,12,2.42,2.69,12.7,3,8.35,125,1.44,24000,1692.24,1405.38,2964.36,2292.57,169.12,0.26,54.01,40.22,15.94,12,77.61,35.45,85.42,95.52,5457.63,4134.61,2531.16,3.43,4,1.35,26.73,2.09,2.3,1.56,0.96,3.2,1.59,2.77,1.9,1.14,9.24,25618.07,1041.49
"Italy",15,57.5,8,5,4.5,2.18,1.055,1.245,1.74,2.915,12.935,0.39,6.5,1.11,1.79,5.5,1.75,8.575,37,1.58,21550,1043.52,705.48,2090.92,1302.31,167.56,0.18,29.285,62.195,19.885,9.25,83.505,32.095,83.055,126.225,7321.845,3322.8,1533.53,2.035,4.5,1.265,27.66,2.005,1.945,1.305,1.135,1.37,2.135,2.245,1.88,1.28,16.145,23384.31,570.565
"Kosovo",3.88,17.5,3.19,1.47,1.52,0.77,0.62,0.86,0.42,1.16,3.5,0.42,3.33,0.73,0.9,2.73,0.4,2.64,12.4,1.17,20000,270,210,450,320,63.26,0,13.6,21.6,5.83,4.65,32.5,30,56.67,49.17,1491.67,788.33,464.17,4.21,2,0.73,5,0.64,0.94,0.47,0.5,1.04,1,0.62,0.96,0.5,6.5,21000,141.43
"Latvia",7,40,5,2.9,2.2,1.01,0.69,0.88,0.88,1.69,6.16,0.57,6,1.03,1.31,3.8,1.15,4.96,50,1.28,18000,385.07,276.53,698.49,488.06,172.23,0.09,16.2,34.77,21,8,60.72,33.49,69.47,85.56,1845.24,1140.27,806.02,2.47,2,0.64,7.8,1.04,1.49,0.44,1.17,2.45,1.38,1.73,1.31,0.47,6.87,17447.92,332.8
"Lithuania",6.5,32.5,5,2.85,3,1.405,1.175,0.855,1.05,1.53,6.97,0.71,7,1.15,1.55,3.85,1,4.795,28.5,1.19,17750,423.725,287.99,728.335,459.82,119.17,0.07,10.585,27.625,18.23,7,60.135,32.955,72.39,96.48,2364.07,1457.525,841.685,2.435,0.9,0.575,8.25,0.86,1.23,0.435,1.085,2.11,1.265,1.485,1.015,0.48,6.795,17988.005,326.785
"Luxembourg",19.87,88.12,10.25,5.14,5.9,3.25,3,1.1,2.37,3.18,19.87,0.92,8.67,1.61,1.95,5.21,2,11.66,35.24,1.33,25218,1638.89,1372.57,3112.5,2310,249.47,0,56.2,45,22.75,11.51,75.29,39.83,109.37,129.83,12430.57,9250.67,3832.24,1.75,3.5,3,30.25,2.39,2.27,1.91,1.7,3.39,2.46,4.09,1.32,1.82,18.88,27365.96,1207.29
"Moldova",4.67,20.74,4.15,1.04,1.43,0.64,0.44,0.68,0.33,1.11,5.79,0.59,3.61,0.77,1.38,1.56,0.1,3.55,9.33,0.98,16335.12,244.49,177.96,428.67,330.84,113.46,0.07,8.58,26.64,12.1,5.19,56.54,35.37,86.25,94.38,904.82,589.13,286.95,9.42,1.3,0.18,3.11,0.7,1.22,0.56,0.84,1.25,0.93,1.56,1.37,0.59,5.37,17238.13,210.52
"Montenegro",5,25,3,1.5,1.9,1.68,1.04,0.79,0.53,1.42,4.89,0.7,4,0.96,1.46,3.2,0.9,5.17,25,1.34,16990,307.27,222.86,553.57,389.5,103.09,0.13,23.52,30,10,5,56.9,31.14,72.86,83.54,1337.62,1036.79,484.81,6.55,1,0.5,6,0.7,1.1,0.54,0.9,1.45,1.12,1.18,1.13,0.72,7.58,17648.57,133.33
"Netherlands",14.5,59.125,8,4.75,3.875,2.345,1.8825,0.94,1.1975,2.4325,10.5725,0.7925,5.745,1.1225,1.785,7,3.4475,8.38,82.355,1.6475,24233.75,1197.1275,917.465,1996.8875,1408.145,171.215,0.1425,37.4775,29.44,21.155,11.75,87.7875,34.02,87.215,124.5575,4797.315,3425.255,2444.2675,2.375,4.0475,2.43,34.3325,2.195,1.5725,1.4475,1.0425,2.88,1.8475,2.415,1.7775,1.27,14.1675,27398.9125,1332.5975
"North Macedonia",5.4,20.61,3.84,1.74,1.93,1.21,0.86,0.84,0.5,1.55,5.3,0.42,4.6,0.79,1.06,2.39,0.6,4.59,23.8,1.12,29215,264.88,168.56,428,284.11,113,0,18.7,24.8,11.44,4.64,63.26,33.76,69.76,88.81,1334.64,976.22,438.55,4.99,0.97,0.57,6.49,0.81,1.04,0.52,0.44,1.33,1.06,1.03,1.02,0.6,7.01,25935.68,269.41
"Norway",18.7,80.88,11.12,9,9.1,2.92,2.51,1.8,2.92,3.79,10.64,1.7,15.17,3.04,3.6,11.98,3.64,12.69,75.83,1.65,34626.88,1280.03,990.78,2080.65,1595.19,158.58,0.08,45.73,42.44,29.12,14.15,92.08,37.59,97.4,132.04,8323.16,5593.16,2985.88,2.81,10.11,1.42,43.49,2.56,2.34,1.84,2.02,4.28,2.43,3.05,2.21,1.61,25.58,31245.91,319.19
"Poland",5.71,24.8,4.56333333333333,2.04833333333333,2.24166666666667,1.01,0.818333333333333,0.595,0.708333333333333,1.83833333333333,5.81833333333333,0.45,5.315,0.74,1.07666666666667,3.79333333333333,0.85,3.92666666666667,23.7416666666667,1.19,18265.9183333333,494.588333333333,380.82,831.438333333333,621.175,163.441666666667,0.06,12.3633333333333,24.775,11.6416666666667,5.985,63.7616666666667,30.1533333333333,65.805,75.555,2341.81833333333,1591.58333333333,838.311666666667,3.96,1.575,0.551666666666667,7.95166666666667,0.716666666666667,1.13333333333333,0.546666666666667,0.741666666666667,2.1,0.816666666666667,1.42666666666667,1.03,0.678333333333333,7.97833333333333,17895.5833333333,232.666666666667
"Portugal",7.75,32.5,6,2,2.5,1.345,0.99,0.66,1.18,1.73,6.94,0.595,4.5,1.04,2.03,5,1.385,5.305,35.5,1.545,25450,784.355,563.09,1489.565,996.92,100.22,0.18,31.735,33.41,11.84,6.975,82.135,29.775,72.485,82.45,3476.16,1992.87,857.71,2.35,3.49,0.475,14.8,1.595,1.23,0.99,0.935,1.525,0.88,1.45,1.13,1.12,9.445,24234.54,372.69
"Romania",5.648,22.592,4.184,1.422,1.922,1.15,0.974,0.946,0.602,2.006,5.13,0.508,4.266,0.706,1.184,3.788,0.47,4.188,15.688,1.198,15966.668,330.668,240.312,569.668,404.722,98.354,0.052,7.534,29.096,10.674,5.606,50.748,29.964,60.102,68.294,1526.93,1082.454,599.774,5.342,0.48,0.474,4.632,0.76,1.002,0.538,0.56,1.556,0.978,1.116,1.094,0.582,6.752,17073.28,256.232
"Russia",6.935,29.3675,4.1475,1.925,2.4775,0.755,0.5225,0.9025,0.5625,1.09,7.555,0.5525,6.5175,0.8925,1.6825,2.055,0.5125,3.96,28.7075,0.66,19578.1575,522.5475,330.1775,1009.6925,601.7675,109.0425,0.0275,7.33,32.705,19.3025,4.955,70.9025,41.15,80.0025,96.435,2618.38,1447.9225,647.625,10.4275,1.6025,0.2075,5.0625,1.335,1.2575,0.47,0.78,1.98,0.9475,1.8075,0.9825,0.4375,7.2225,19001.1375,339.4275
"Serbia",5.115,21.235,4.755,1.6,1.875,1.245,0.85,0.775,0.425,1.305,4.825,0.43,4.14,0.585,1.045,2.76,0.655,4.405,23.585,1.345,19115.425,301.74,206.195,551.695,348.865,129.345,0.095,20.375,23.75,9.075,3.82,63.275,29.27,73.395,87.505,2036.13,1218.125,438.41,3.74,1.145,0.515,5.31,0.715,1.06,0.505,0.385,1.26,1.06,0.95,1.04,0.505,6.26,17645.265,206.52
"Slovakia",6,30,6,2,2,1.62,1.25,0.76,0.96,1.92,7.54,0.59,5,0.72,1.27,3.85,0.9,5.33,27,1.33,16000,635.45,486.91,1055.77,794,180.44,0.09,15.69,26.77,12.32,7.99,61.69,26.4,64.3,76.5,3178.46,2339.13,1059.38,1.58,3,0.82,15,1.57,1.47,0.86,0.95,2.09,1.13,2.32,1.56,0.88,8.59,15734.55,400.4
"Slovenia",8,35,5,2.6,3.4,2.15,1.58,0.91,1.08,2.29,10.36,0.59,6,1.05,1.73,4.1,1.3,7.69,37,1.3,19000,579.89,448.26,1063.75,783.33,199.61,0.07,33,40.61,13.78,6.78,62.23,29.24,76.41,90.59,3541.67,2605.88,1155.72,3.19,1,0.9,13.9,1.36,1.36,0.85,1.18,1.48,1.46,1.95,1.21,0.94,9.42,19070.45,368.78
"Spain",10.5833333333333,38.3333333333333,7.33333333333333,2.5,2.83333333333333,1.61666666666667,1.18666666666667,0.786666666666667,0.95,1.57666666666667,10.5266666666667,0.566666666666667,5.15,0.836666666666667,1.37666666666667,5,1.71666666666667,6.20333333333333,48.8333333333333,1.32333333333333,20000,851.863333333333,630.813333333333,1399.93,971.88,123.32,0.16,39.9066666666667,36.02,13.72,8.5,70.97,27.2133333333333,72.0433333333333,89.0166666666667,4060.60333333333,2453.52333333333,1455.14,2.29333333333333,3.16666666666667,1.11,21.64,1.66333333333333,1.3,0.956666666666667,0.926666666666667,1.69333333333333,0.976666666666667,1.58,1.52333333333333,1.09,10.4633333333333,20385.39,429.163333333333
"Sweden",10.925,71.22,7.6,6.43,6.41,2.26,1.865,1.13,2.25,2.67,8.53,1.455,9.26,1.69,1.835,6.17,3.23,9.485,73.475,1.49,19673.075,1059.975,760.01,1745.96,1168.49,63.795,0.1,29.2,34.93,23.695,12.58,81.71,34.94,83.35,117.44,7194.735,4487.475,2329.815,2.63,4.555,1.335,50.28,2.435,2.265,1.105,1.825,3.61,2.37,2.97,2.105,1.165,14.47,19626.865,121.575
"Switzerland",22.56,101.855,13.955,6.68,6.12,3.805,3.52,1.625,2.495,6.085,20.49,1.14,12.425,1.9,2.77,8.07,4.005,23.74,76.12,1.67,28718.125,1600.885,1269.345,2924.93,2328.27,208.7,0.13,53.105,72.465,35.95,18.055,103.24,48.65,119.86,179.36,13531.61,9077.325,5382.4,2.05,6.74,3.675,65.56,3.62,3.585,2.56,2.46,4.83,2.48,4.98,2.38,2.47,46.305,28002.04,2504.3
"Turkey",3.82,13.5625,3.3625,2.6175,2.9825,0.65,0.2225,0.685,0.3925,1.54,5.3275,0.2925,7.0675,1.7,2.27,2.4425,0.46,3.27,25.0275,1.0525,24008.4225,220.04,138.285,384.375,236,58.1175,0.1075,13.5325,22.4875,11.26,3.25,33.6,22.56,56.725,46.655,859.3625,492.94,428.0225,20.1375,0.675,0.5,3.4175,0.8075,0.785,0.5425,0.56,1.6725,1.3175,0.77,1.8,0.565,9.415,20699.965,234.545
"Ukraine",4.8825,20.175,3.6825,1.1125,1.4475,0.5025,0.3825,0.9,0.475,1.13,6.435,0.4575,3.635,0.6775,1.2975,1.5325,0.28,3.73,9.0025,1.11,21601.58,411.2575,260.15,698.4875,443.145,99.8075,0.0325,5.2125,19.375,9.51,4.0825,65.8325,43.445,92.855,105.2175,1226.0125,645.7225,389,19.145,1.7375,0.26,3.475,0.64,1.22,0.43,0.7425,1.135,1,1.3025,1.055,0.455,5.4475,20883.325,208.6775
"United Kingdom",17.49,64.15,7,5.83,5.25,1.66,1.31,1.13,1.27,2.39,7.87,0.91,9.33,2.03,2.13,12.83,2.92,7,167.34,1.51,23325.97,2015.24,1420.02,3634.96,2373.78,186.96,0.13,37.07,46.02,13.66,14,76.44,37.03,77.94,93.35,15242.29,8142.19,2756.93,3.31,4.67,2.97,40.82,2.11,2.39,1.37,0.88,3.3,1.52,2.68,1.34,1.2,9.79,25282.88,1605.65
